Dataset,Model,app1_mean,app1_std,app2_mean,app2_std,app3_mean,app3_std,app4_mean,app4_std,app5_mean,app5_std,app6_mean,app6_std,app7_mean,app7_std,app8_mean,app8_std,app9_mean,app9_std,app10_mean,app10_std,app11_mean,app11_std
nz20.csv,TimesProp,0.314,0.001,0.065,0.006,0.044,0,0.222,0,0.116,0.001,,,,,,,,,,,,
nz21.csv,PropDir,0.176,0.002,0.062,0.002,0.071,0.001,0.041,0,0.025,0,0.028,0,,,,,,,,,,
nz21.csv,TimesProp,0.153,0.001,0.042,0.001,0.067,0,0.047,0,0.026,0,0.03,0,,,,,,,,,,
nz21.csv,PROFHiT,0.609,,0.15,,0.446,,0.089,,0.136,,0.12,,,,,,,,,,,
nz22.csv,PropDir,0.564,0,0.188,0.005,0.111,0.001,0.227,0,0.03,0,0.209,0.001,,,,,,,,,,
nz22.csv,TimesProp,0.458,0.011,0.174,0.002,0.096,0.003,0.228,0.002,0.049,0.001,0.211,0.002,,,,,,,,,,
nz22.csv,PROFHiT,0.55,,0.242,,0.148,,0.227,,0.069,,0.233,,,,,,,,,,,
nz23.csv,PROFHiT,0.308,,0.193,,0.064,,0.083,,0.183,,,,,,,,,,,,,
nz23.csv,PropDir,0.303,0.001,0.222,0.001,0.155,0.003,0.049,0,0.112,0.002,,,,,,,,,,,,
nz23.csv,TimesProp,0.265,0.001,0.189,0.002,0.091,0.001,0.066,0.001,0.096,0.003,,,,,,,,,,,,
nz24.csv,PROFHiT,0.595,,0.59,,0.129,,0.019,,0.098,,,,,,,,,,,,,
nz24.csv,PropDir,0.346,0.002,0.181,0.002,0.038,0,0.2,0,0.047,0,,,,,,,,,,,,
nz24.csv,TimesProp,0.227,0.003,0.176,0.003,0.051,0.001,0.05,0,0.061,0.001,,,,,,,,,,,,
nz25.csv,PROFHiT,0.295,,0.152,,0.184,,0.208,,0.121,,,,,,,,,,,,,
nz25.csv,TimesProp,0.277,0.004,0.124,0.001,0.135,0.003,0.152,0.002,0.084,0.002,,,,,,,,,,,,
nz25.csv,PropDir,0.322,0.002,0.115,0,0.172,0.003,0.142,0.001,0.056,0,,,,,,,,,,,,
nz26.csv,TimesProp,0.193,0.002,0.049,0,0.05,0.003,0.035,0.001,0.172,0.001,,,,,,,,,,,,
nz26.csv,PropDir,0.211,0.001,0.042,0,0.088,0,0.017,0,0.172,0.002,,,,,,,,,,,,
nz26.csv,PROFHiT,0.293,,0.115,,0.026,,0.11,,0.457,,,,,,,,,,,,,
nz27.csv,TimesProp,0.204,0.004,0.045,0.002,0.077,0.002,0.091,0.006,0.163,0.004,0.052,0,,,,,,,,,,
nz27.csv,PropDir,0.214,0.001,0.031,0.001,0.061,0,0.005,0,0.127,0.001,0.043,0,,,,,,,,,,
nz27.csv,PROFHiT,0.557,,0.132,,0.414,,0.443,,0.183,,0.24,,,,,,,,,,,
nz29.csv,TimesProp,0.271,0.001,0.164,0.004,0.181,0.001,0.04,0.001,0.029,0.001,0.025,0,,,,,,,,,,
nz29.csv,PropDir,0.289,0,0.179,0.002,0.177,0.001,0.005,0,0.041,0.001,0.017,0,,,,,,,,,,
nz29.csv,PROFHiT,0.329,,0.403,,0.216,,0.011,,0.025,,0.067,,,,,,,,,,,
nz30.csv,TimesProp,0.189,0.005,0.121,0.002,0.07,0.002,0.036,0.001,0.094,0.002,0.025,0,,,,,,,,,,
nz30.csv,PropDir,0.248,0.002,0.127,0.001,0.152,0.002,0.022,0.001,0.062,0.003,0.022,0,,,,,,,,,,
nz30.csv,PROFHiT,0.303,,0.296,,0.251,,0.045,,0.17,,0.063,,,,,,,,,,,
nz31.csv,PropDir,0.233,0.001,0.097,0.003,0.004,0,0.153,0.003,0.06,0,0.046,0,,,,,,,,,,
nz31.csv,PROFHiT,0.594,,0.137,,0.084,,0.27,,0.035,,0.161,,,,,,,,,,,
nz31.csv,TimesProp,0.199,0.001,0.092,0.005,0.017,0.001,0.135,0.002,0.064,0,0.046,0,,,,,,,,,,
nz32.csv,PropDir,0.224,0,0.005,0,0.216,0.001,0.094,0.001,0.009,0,0.016,0,,,,,,,,,,
nz32.csv,TimesProp,0.208,0.004,0.031,0.004,0.194,0.001,0.046,0.001,0.01,0,0.014,0,,,,,,,,,,
nz32.csv,PROFHiT,0.37,,0.16,,0.21,,0.167,,0.016,,0.05,,,,,,,,,,,
nz33.csv,PROFHiT,0.645,,0.25,,0.305,,0.438,,0.027,,0.078,,,,,,,,,,,
nz33.csv,PropDir,0.283,0,0.199,0.001,0.141,0.001,0.043,0,0.016,0,0.025,0,,,,,,,,,,
nz33.csv,TimesProp,0.256,0.003,0.187,0.002,0.081,0.003,0.052,0.001,0.014,0,0.027,0,,,,,,,,,,
nz34.csv,TimesProp,0.493,0.009,0.266,0.005,0.279,0.003,0.118,0.005,0.062,0,0.065,0.001,,,,,,,,,,
nz34.csv,PROFHiT,0.914,,0.471,,0.496,,0.101,,0.125,,0.172,,,,,,,,,,,
nz34.csv,PropDir,0.574,0.007,0.302,0.006,0.312,0.008,0.155,0.008,0.115,0.007,0.07,0.002,,,,,,,,,,
nz35.csv,PropDir,0.237,0.002,0.019,0,0.185,0.002,0.055,0,0.068,0.001,0.041,0,,,,,,,,,,
nz35.csv,PROFHiT,0.266,,0.222,,0.261,,0.088,,0.034,,0.029,,,,,,,,,,,
nz35.csv,TimesProp,0.207,0,0.032,0.001,0.167,0.001,0.058,0.001,0.064,0.002,0.033,0,,,,,,,,,,
nz36.csv,TimesProp,0.248,0.001,0.061,0.001,0.205,0,0.04,0.001,0.022,0,0.01,0,,,,,,,,,,
nz36.csv,PROFHiT,0.535,,0.475,,0.268,,0.041,,0.03,,0.022,,,,,,,,,,,
nz36.csv,PropDir,0.302,0,0.064,0,0.227,0.002,0.034,0,0.032,0.001,0.012,0,,,,,,,,,,
nz37.csv,PROFHiT,0.401,,0.134,,0.376,,0.08,,0.027,,0.032,,,,,,,,,,,
nz37.csv,PropDir,0.282,0,0.027,0,0.195,0,0.097,0,0.05,0,0.01,0,,,,,,,,,,
nz37.csv,TimesProp,0.239,0.001,0.032,0,0.19,0.001,0.059,0,0.026,0,0.012,0,,,,,,,,,,
nz38.csv,PropDir,0.715,0.002,0.361,0.001,0.457,0.004,0.158,0.001,0.214,0,0.06,0.003,,,,,,,,,,
nz38.csv,PROFHiT,0.824,,0.412,,0.562,,0.109,,0.043,,0.058,,,,,,,,,,,
nz38.csv,TimesProp,0.592,0.004,0.332,0.009,0.408,0.007,0.133,0.005,0.051,0.001,0.044,0.001,,,,,,,,,,
nz39.csv,PropDir,0.492,0.001,0.339,0.001,0.16,0.001,0.177,0,0.047,0,,,,,,,,,,,,
nz39.csv,PROFHiT,0.895,,0.642,,0.266,,0.083,,0.116,,,,,,,,,,,,,
nz39.csv,TimesProp,0.434,0.006,0.317,0.004,0.12,0.001,0.092,0,0.074,0.001,,,,,,,,,,,,
nz40.csv,PropDir,0.517,0.005,0.286,0.001,0.178,0.001,0.117,0.003,0.013,0,0.081,0.002,,,,,,,,,,
nz40.csv,PROFHiT,0.51,,0.822,,0.335,,0.12,,0.041,,0.142,,,,,,,,,,,
nz40.csv,TimesProp,0.469,0.009,0.284,0.003,0.17,0,0.085,0.001,0.022,0,0.072,0.001,,,,,,,,,,
nz41.csv,PropDir,0.251,0.001,0.029,0,0.161,0.001,0.075,0.002,0.071,0.001,0.032,0,,,,,,,,,,
nz41.csv,PROFHiT,0.423,,0.112,,0.129,,0.069,,0.266,,0.05,,,,,,,,,,,
nz41.csv,TimesProp,0.23,0.003,0.039,0.001,0.154,0.001,0.084,0.002,0.087,0.001,0.038,0,,,,,,,,,,
