r_hour,Aggregate,Fridge$2752,Heat Pump & Washing Machine$2750,Kitchen Appliances & Garage$2753,Lower Bedrooms & Bathrooms$2751,Oven$2749
2014-07-15 04:00:00+00:00,0.1561688333333331,0.0700325,0.0094121666666666,0.0601998333333333,0.0088694999999999,0.0076548333333333
2014-07-15 05:00:00+00:00,0.3034578333333332,0.0671203333333333,0.2248588333333333,0.0114786666666666,0.0,0.0
2014-07-15 06:00:00+00:00,1.4568013333333332,0.0526783333333333,1.3531495,0.0217906666666666,0.0291828333333333,0.0
2014-07-15 07:00:00+00:00,0.2399111666666665,0.0599806666666666,0.0152043333333333,0.0927208333333333,0.0720053333333333,0.0
2014-07-15 08:00:00+00:00,0.3215484999999999,0.0942298333333333,0.0083725,0.1121881666666666,0.106758,0.0
2014-07-15 09:00:00+00:00,0.3918618333333333,0.222179,0.0181145,0.0203408333333333,0.1312275,0.0
2014-07-15 10:00:00+00:00,0.6288408333333332,0.4508186666666666,0.008697,0.0093915,0.1599336666666666,0.0
2014-07-15 11:00:00+00:00,0.42124216666666653,0.2272964999999999,0.0189025,0.008545,0.1664981666666666,0.0
2014-07-15 12:00:00+00:00,0.6276768333333331,0.4266014999999999,0.021095,0.0071128333333333,0.1728674999999999,0.0
2014-07-15 13:00:00+00:00,0.5571689999999998,0.351508,0.0206764999999999,0.0058471666666666,0.1791373333333333,0.0
2014-07-15 14:00:00+00:00,0.6495133333333332,0.4436895,0.020933,0.0034179999999999,0.1814728333333333,0.0
2014-07-15 15:00:00+00:00,0.6897125,0.466506,0.019589,0.0112035,0.192414,0.0
2014-07-15 16:00:00+00:00,0.6813864999999999,0.4362655,0.020878,0.0006171666666666,0.2236258333333333,0.0
2014-07-15 17:00:00+00:00,0.6933438333333333,0.4280583333333333,0.0208845,0.0041536666666666,0.2402473333333333,0.0
2014-07-15 18:00:00+00:00,0.9581448333333333,0.3869621666666666,0.3064725,0.0130553333333333,0.2516548333333333,0.0
2014-07-15 19:00:00+00:00,1.913027833333333,0.25485,1.5197203333333331,0.0717874999999999,0.06667,0.0
2014-07-15 20:00:00+00:00,0.1420316666666666,0.0782848333333333,0.0176113333333333,0.0461355,0.0,0.0
2014-07-15 21:00:00+00:00,0.0938931666666666,0.0675266666666666,0.006664,0.0197025,0.0,0.0
2014-07-15 22:00:00+00:00,0.1236241666666666,0.0922426666666666,0.001616,0.0297655,0.0,0.0
2014-07-15 23:00:00+00:00,0.47566966666666655,0.0797076666666666,0.376307,0.019655,0.0,0.0
2014-07-16 00:00:00+00:00,0.26656266666666645,0.0646516666666666,0.0659403333333333,0.1356933333333333,0.0002773333333333,0.0
2014-07-16 01:00:00+00:00,0.2413526666666665,0.0613268333333333,0.0059886666666666,0.0,0.0,0.1740371666666666
2014-07-16 02:00:00+00:00,0.27411099999999994,0.0860118333333333,0.002822,0.0242001666666666,0.0001,0.160977
2014-07-16 03:00:00+00:00,0.09500916666666641,0.0817191666666666,0.0124354999999999,0.0008544999999999,0.0,0.0
2014-07-16 04:00:00+00:00,2.055494,0.0499981666666666,1.3549805,0.0257309999999999,0.0013466666666666,0.6234376666666667
2014-07-16 05:00:00+00:00,1.292352333333333,0.0524268333333333,0.8494835000000001,0.0575241666666666,0.0005466666666666,0.3323711666666666
2014-07-16 06:00:00+00:00,1.0854268333333332,0.178753,0.650687,0.0896456666666666,0.1662578333333333,8.333333333333333e-05
2014-07-16 07:00:00+00:00,1.3869106666666666,0.2223996666666666,0.7780766666666666,0.0337411666666666,0.3526931666666666,0.0
2014-07-16 08:00:00+00:00,1.7694811666666665,0.0458046666666666,1.3675581666666667,0.0,0.3561183333333332,0.0
2014-07-16 09:00:00+00:00,1.0907441666666666,0.1604301666666666,0.5898048333333333,0.0,0.3405091666666666,0.0
2014-07-16 10:00:00+00:00,1.759906833333333,0.2169608333333333,1.2241339999999998,0.0,0.318812,0.0
2014-07-16 11:00:00+00:00,1.5148983333333335,0.3943631666666667,0.8167215,0.0,0.3038136666666667,0.0
2014-07-16 12:00:00+00:00,1.5246653333333333,0.2268515,0.994229,0.0,0.3035848333333333,0.0
2014-07-16 13:00:00+00:00,1.8247891666666662,0.4448418333333332,1.0788881666666663,0.0,0.3010591666666666,0.0
2014-07-16 14:00:00+00:00,0.7176944999999999,0.386878,0.0215238333333333,0.0,0.3092926666666666,0.0
2014-07-16 15:00:00+00:00,1.0990431666666667,0.4448921666666666,0.342767,0.0,0.311384,0.0
2014-07-16 16:00:00+00:00,1.1131471666666668,0.430189,0.363026,1.6666666666666667e-05,0.3199155,0.0
2014-07-16 17:00:00+00:00,1.1091259999999998,0.3970808333333333,0.3808594999999999,0.0,0.3311856666666666,0.0
2014-07-16 18:00:00+00:00,1.718185833333333,0.4499133333333333,0.9326221666666666,0.0,0.3356503333333333,0.0
2014-07-16 19:00:00+00:00,2.716451166666666,0.0861693333333333,1.4969471666666665,1.0826926666666663,0.050642,0.0
2014-07-16 20:00:00+00:00,0.8153551666666666,0.0397591666666666,0.050773,0.724823,0.0,0.0
2014-07-16 21:00:00+00:00,0.0909058333333332,0.0720151666666666,0.0188906666666666,0.0,0.0,0.0
2014-07-16 22:00:00+00:00,0.0842388333333332,0.0430175,0.0272316666666666,0.0139896666666666,0.0,0.0
2014-07-16 23:00:00+00:00,0.4603313333333333,0.047903,0.4124283333333333,0.0,0.0,0.0
2014-07-17 00:00:00+00:00,0.2423211666666666,0.0756701666666666,0.0748315,0.0918195,0.0,0.0
