r_hour,Aggregate,Hot Water - Controlled$2102,Kitchen$2104,"Laundry, Fridge & Freezer$2105",Oven & Hob$2103
2014-05-31 08:00:00+00:00,0.109534,0.0,0.0,0.109534,0.0
2014-05-31 09:00:00+00:00,0.1158218333333333,0.0,0.0,0.1158218333333333,0.0
2014-05-31 10:00:00+00:00,0.0656196666666666,0.0,0.0,0.0656196666666666,0.0
2014-05-31 11:00:00+00:00,0.1105803333333333,0.0,0.0,0.1105803333333333,0.0
2014-05-31 12:00:00+00:00,0.11515683333333321,0.0528314999999999,0.0,0.0623253333333333,0.0
2014-05-31 13:00:00+00:00,3.144986333333333,3.0527021666666667,0.0,0.0922841666666666,0.0
2014-05-31 14:00:00+00:00,1.6223318333333334,1.5501286666666667,0.0,0.0722031666666666,0.0
2014-05-31 15:00:00+00:00,0.0811523333333333,0.0,0.0,0.0811523333333333,0.0
2014-05-31 16:00:00+00:00,0.0901701666666666,0.0,0.0,0.0901701666666666,0.0
2014-05-31 17:00:00+00:00,0.0652573333333333,0.0,0.0,0.0652573333333333,0.0
2014-05-31 18:00:00+00:00,0.103255,0.0,0.0,0.103255,0.0
2014-05-31 19:00:00+00:00,0.2198364999999999,0.0,0.1520024999999999,0.067834,0.0
2014-05-31 20:00:00+00:00,0.1615836666666666,0.0,0.063265,0.0983186666666666,0.0
2014-05-31 21:00:00+00:00,0.1429261666666666,0.0,0.0611753333333333,0.0817508333333333,0.0
2014-05-31 22:00:00+00:00,1.7896066666666668,1.6120123333333334,0.0,0.1775943333333333,0.0
2014-05-31 23:00:00+00:00,3.187018,3.0924938333333336,0.0,0.0945241666666666,0.0
2014-06-01 00:00:00+00:00,3.1754100000000003,3.0917578333333338,0.0,0.0836521666666666,0.0
2014-06-01 01:00:00+00:00,1.8616101666666667,1.7452198333333333,0.0,0.1163903333333333,0.0
2014-06-01 02:00:00+00:00,0.16480783333333332,0.0,0.0661153333333333,0.0986925,0.0
2014-06-01 03:00:00+00:00,0.0755038333333333,0.0,0.0,0.0755038333333333,0.0
2014-06-01 04:00:00+00:00,1.0687803333333332,0.8338916666666667,0.0,0.2348886666666666,0.0
2014-06-01 05:00:00+00:00,0.1227978333333333,0.0,0.0,0.1227978333333333,0.0
2014-06-01 06:00:00+00:00,0.29121133333333327,0.0,0.164482,0.1267293333333333,0.0
2014-06-01 07:00:00+00:00,0.1189993333333333,0.0,0.0,0.1189993333333333,0.0
2014-06-01 08:00:00+00:00,0.38694383333333326,0.0,0.0200513333333333,0.109094,0.2577985
2014-06-01 09:00:00+00:00,0.13832916666666661,0.0,0.052369,0.0859601666666666,0.0
2014-06-01 10:00:00+00:00,0.1403496666666666,0.0,0.0291713333333333,0.1111783333333333,0.0
2014-06-01 11:00:00+00:00,0.0667664999999999,0.0,0.0,0.0667664999999999,0.0
2014-06-01 12:00:00+00:00,0.1876114999999999,0.0766188333333333,0.0,0.1109926666666666,0.0
2014-06-01 13:00:00+00:00,3.140887166666667,3.0847715000000004,0.0,0.0561156666666666,0.0
2014-06-01 14:00:00+00:00,0.9864895,0.8867451666666667,0.0,0.0997443333333333,0.0
