r_hour,Aggregate,Hot Water - Controlled (HEMS)$2081,"Kitchen, Laundry & Ventilation$2084",Oven$2085,Spa (HEMS)$2080
2014-05-25 22:00:00+00:00,0.0742739999999999,0.0,0.0241458333333333,0.0,0.0501281666666666
2014-05-25 23:00:00+00:00,0.1704516666666666,0.0744538333333333,0.046139,0.0,0.0498588333333333
2014-05-26 00:00:00+00:00,3.5042414999999996,1.4232416666666663,0.1557201666666666,0.0041951666666666,1.9210845
2014-05-26 01:00:00+00:00,2.0481838333333333,0.9066111666666667,0.3598011666666666,0.0026358333333333,0.7791356666666667
2014-05-26 02:00:00+00:00,1.380924833333333,0.9666693333333332,0.2205875,0.0,0.193668
2014-05-26 03:00:00+00:00,2.0707543333333334,0.0,0.1860438333333333,0.0,1.8847105
2014-05-26 04:00:00+00:00,1.9407658333333333,0.0652723333333333,0.2031568333333333,0.0,1.6723366666666666
2014-05-26 05:00:00+00:00,3.15212,1.0985353333333332,0.7652073333333334,0.0699178333333333,1.2184595
2014-05-26 06:00:00+00:00,1.7092753333333333,0.3078278333333333,0.2387118333333333,0.1798426666666666,0.982893
2014-05-26 07:00:00+00:00,2.646447833333333,1.4310228333333332,0.5609606666666667,0.0,0.6544643333333333
2014-05-26 08:00:00+00:00,1.903119333333333,1.2138126666666664,0.1754814999999999,0.0,0.5138251666666667
2014-05-26 09:00:00+00:00,0.7226465,0.0,0.1670576666666667,0.0,0.5555888333333333
2014-05-26 10:00:00+00:00,0.211638,0.0,0.211638,0.0,0.0
2014-05-26 11:00:00+00:00,0.622573,0.4472565,0.1753165,0.0,0.0
2014-05-26 12:00:00+00:00,0.1723443333333333,0.0,0.1723443333333333,0.0,0.0
2014-05-26 13:00:00+00:00,0.1751444999999999,0.0,0.1751444999999999,0.0,0.0
2014-05-26 14:00:00+00:00,0.6123563333333333,0.4217481666666666,0.1906081666666667,0.0,0.0
2014-05-26 15:00:00+00:00,0.1167076666666666,0.0,0.1167076666666666,0.0,0.0
2014-05-26 16:00:00+00:00,0.116001,0.0,0.116001,0.0,0.0
2014-05-26 17:00:00+00:00,0.1231965,0.0,0.1231965,0.0,0.0
2014-05-26 18:00:00+00:00,0.5199325,0.1972665,0.251577,0.071089,0.0
2014-05-26 19:00:00+00:00,0.1472873333333333,0.0,0.1472873333333333,0.0,0.0
2014-05-26 20:00:00+00:00,0.1169861666666666,0.0,0.1169861666666666,0.0,0.0
2014-05-26 21:00:00+00:00,0.1150388333333333,0.0,0.1150388333333333,0.0,0.0
2014-05-26 22:00:00+00:00,0.3894808333333333,0.0,0.140755,0.0,0.2487258333333333
2014-05-26 23:00:00+00:00,1.7370128333333332,0.1732316666666666,0.1451943333333333,0.0,1.4185868333333334
2014-05-27 00:00:00+00:00,1.7707498333333331,1.2913486666666665,0.3246663333333333,0.0,0.1547348333333333
2014-05-27 01:00:00+00:00,1.8142269999999998,0.6529351666666666,0.1366011666666666,0.0,1.0246906666666666
2014-05-27 02:00:00+00:00,0.886379,0.0,0.1470543333333333,0.0,0.7393246666666667
2014-05-27 03:00:00+00:00,2.0062153333333326,0.0463146666666666,0.1468058333333333,0.0,1.8130948333333328
2014-05-27 04:00:00+00:00,1.8151493333333333,0.3393815,0.1275096666666666,0.0,1.3482581666666666
2014-05-27 05:00:00+00:00,1.2140276666666665,0.0,0.2312185,0.0,0.9828091666666666
2014-05-27 06:00:00+00:00,2.1848108333333336,0.7358181666666667,0.2392035,0.5088228333333333,0.7009663333333334
2014-05-27 07:00:00+00:00,2.7378088333333337,1.4258868333333334,0.6973266666666667,0.0,0.6145953333333333
2014-05-27 08:00:00+00:00,1.0474231666666667,0.2909873333333334,0.1828818333333333,0.0,0.573554
2014-05-27 09:00:00+00:00,0.6037643333333333,0.0198445,0.1996353333333333,0.0,0.3842845
2014-05-27 10:00:00+00:00,0.5371678333333333,0.3672336666666667,0.1699341666666666,0.0,0.0
2014-05-27 11:00:00+00:00,0.1653291666666667,0.0,0.1653291666666667,0.0,0.0
2014-05-27 12:00:00+00:00,0.5709601666666666,0.403578,0.1673821666666666,0.0,0.0
2014-05-27 13:00:00+00:00,0.1731975,0.0,0.1731975,0.0,0.0
2014-05-27 14:00:00+00:00,0.1271848333333333,0.0,0.1271848333333333,0.0,0.0
2014-05-27 15:00:00+00:00,0.1339698333333333,0.0,0.1339698333333333,0.0,0.0
2014-05-27 16:00:00+00:00,0.1248545,0.0,0.1248545,0.0,0.0
2014-05-27 17:00:00+00:00,0.6068078333333332,0.4870526666666666,0.1197551666666666,0.0,0.0
2014-05-27 18:00:00+00:00,0.1749319999999999,0.0,0.1698581666666666,0.0050738333333333,0.0
2014-05-27 19:00:00+00:00,0.2745066666666665,0.0,0.2122751666666666,0.0622314999999999,0.0
2014-05-27 20:00:00+00:00,0.1332476666666666,0.0,0.1332476666666666,0.0,0.0
2014-05-27 21:00:00+00:00,0.1252336666666666,0.0,0.1252336666666666,0.0,0.0
2014-05-27 22:00:00+00:00,0.3866153333333332,0.0,0.1387911666666666,0.0,0.2478241666666666
2014-05-27 23:00:00+00:00,0.4495821666666666,0.0,0.2174883333333333,0.0,0.2320938333333333
2014-05-28 00:00:00+00:00,0.4145079999999999,0.0,0.2267475,0.0,0.1877604999999999
2014-05-28 01:00:00+00:00,0.3826801666666667,0.0,0.1478671666666667,0.0,0.234813
2014-05-28 02:00:00+00:00,0.3464564999999999,0.0,0.1456561666666666,0.0,0.2008003333333333
2014-05-28 03:00:00+00:00,0.9549686666666666,0.1773485,0.1301575,0.0,0.6474626666666666
